X,Y,timestep_multiple,tau,d,training_start,training_end,training_size,testing_start,testing_length,testing_end,error_scale,mode,interpolation,kmeans,subset_size,epsilon,visualize_reconstruction,nonempty,time,rmse,pcc
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,100,15000000,10000,13000,15,voronoi,none,False,22,15.05687009663611,False,22,1.8050005435943604,10.914895298602106,0.465468391702357
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,143,15000000,10000,13000,15,voronoi,none,False,27,13.508339336531005,False,27,1.8423793315887451,9.924600083568444,0.41948261759247074
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,206,15000000,10000,13000,15,voronoi,none,False,33,12.119067937740798,False,33,1.7530522346496582,7.1091681397433355,0.7101995993727886
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,297,15000000,10000,13000,15,voronoi,none,False,40,10.87267679768654,False,40,1.8375935554504395,5.959182153091486,0.7912856724818618
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,428,15000000,10000,13000,15,voronoi,none,False,48,9.754471330159777,False,48,1.755319356918335,6.278931306742593,0.7767924110478288
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,615,15000000,10000,13000,15,voronoi,none,False,58,8.75126822045835,False,58,1.7644834518432617,5.840952616681319,0.8068998457482287
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,885,15000000,10000,13000,15,voronoi,none,False,70,7.851239997970227,False,70,1.753631830215454,5.915607199596254,0.8069127777296714
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,1274,15000000,10000,13000,15,voronoi,none,False,85,7.043775593761766,False,85,1.789508581161499,5.1202731620797755,0.8711227667605347
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,1832,15000000,10000,13000,15,voronoi,none,False,103,6.319355239185249,False,103,1.8056364059448242,4.583233349203171,0.8748516847856544
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,2636,15000000,10000,13000,15,voronoi,none,False,124,5.6694382305968585,False,124,1.8112576007843018,4.609461480221474,0.8799213767924515
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,3792,15000000,10000,13000,15,voronoi,none,False,150,5.086362236964125,False,150,1.8092610836029053,3.8242904839873306,0.9096493259788732
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,5455,15000000,10000,13000,15,voronoi,none,False,181,4.563252963228967,False,181,1.812361240386963,3.5356998663638706,0.9244830561292257
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,7847,15000000,10000,13000,15,voronoi,none,False,219,4.093943104383897,False,219,1.8170835971832275,3.5498751990037967,0.926444426549372
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,11288,15000000,10000,13000,15,voronoi,none,False,265,3.6728996347537115,False,265,1.8235599994659424,3.1317633364086412,0.9403776079670811
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,16237,15000000,10000,13000,15,voronoi,none,False,320,3.295158575244565,False,320,1.9282732009887695,2.9061805529316254,0.9487077286020857
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,23357,15000000,10000,13000,15,voronoi,none,False,386,2.9562664694854583,False,386,1.9031877517700195,2.6307212001558002,0.9573962333321375
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,33598,15000000,10000,13000,15,voronoi,none,False,466,2.6522278788829987,False,466,1.9953792095184326,2.3776281905199466,0.9656192798531279
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,48329,15000000,10000,13000,15,voronoi,none,False,562,2.379458277571489,False,562,1.952549695968628,2.2115219739327268,0.9702189791891613
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,69519,15000000,10000,13000,15,voronoi,none,False,679,2.1347417919036364,False,679,2.0298550128936768,2.053193793380174,0.9743877255649687
x_ts0.01.npy,z_ts0.01.npy,1,17,3,0,10000000,100000,15000000,10000,13000,15,voronoi,none,False,820,1.9151932862428738,False,820,2.149873733520508,1.8309770804859264,0.9798188254082133
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,100,1500000,10000,13000,15,voronoi,none,False,22,15.05687009663611,False,22,0.46752142906188965,10.964402854977923,0.4447784900428432
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,143,1500000,10000,13000,15,voronoi,none,False,27,13.508339336531005,False,27,0.4829103946685791,11.235259645426378,0.34615103639788064
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,206,1500000,10000,13000,15,voronoi,none,False,33,12.119067937740798,False,33,0.4900827407836914,9.934629510064081,0.38024675204823366
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,297,1500000,10000,13000,15,voronoi,none,False,40,10.87267679768654,False,40,0.4823148250579834,9.072278674051654,0.4447858861531611
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,428,1500000,10000,13000,15,voronoi,none,False,48,9.754471330159777,False,48,0.49838972091674805,8.735840002335399,0.43722290037206313
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,615,1500000,10000,13000,15,voronoi,none,False,58,8.75126822045835,False,58,0.5001215934753418,8.357552301164192,0.5145816345991975
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,885,1500000,10000,13000,15,voronoi,none,False,70,7.851239997970227,False,70,0.5384280681610107,8.336134434904737,0.5382544375208939
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,1274,1500000,10000,13000,15,voronoi,none,False,85,7.043775593761766,False,85,0.5018332004547119,7.592396069230261,0.592286815412846
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,1832,1500000,10000,13000,15,voronoi,none,False,103,6.319355239185249,False,103,0.5242214202880859,7.318422667441894,0.6005818121416748
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,2636,1500000,10000,13000,15,voronoi,none,False,124,5.6694382305968585,False,124,0.5354893207550049,6.878059529916092,0.6632857528642995
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,3792,1500000,10000,13000,15,voronoi,none,False,150,5.086362236964125,False,150,0.5152852535247803,6.589785754598548,0.685778941797756
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,5455,1500000,10000,13000,15,voronoi,none,False,181,4.563252963228967,False,181,0.5868988037109375,6.447723012606341,0.7025093926884409
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,7847,1500000,10000,13000,15,voronoi,none,False,219,4.093943104383897,False,219,0.5455889701843262,6.402524973906157,0.7003311106103907
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,11288,1500000,10000,13000,15,voronoi,none,False,265,3.6728996347537115,False,265,0.5912697315216064,6.1997467263644275,0.7274161572843928
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,16237,1500000,10000,13000,15,voronoi,none,False,320,3.295158575244565,False,320,0.604560136795044,6.045216141094441,0.7397742075419983
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,23357,1500000,10000,13000,15,voronoi,none,False,386,2.9562664694854583,False,386,0.6204729080200195,5.891552525723568,0.7539361963203567
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,33598,1500000,10000,13000,15,voronoi,none,False,466,2.6522278788829987,False,466,0.6941444873809814,5.739400661724528,0.7683651574620256
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,48329,1500000,10000,13000,15,voronoi,none,False,562,2.379458277571489,False,562,0.6838335990905762,5.599469599177568,0.7793002452968089
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,69519,1500000,10000,13000,15,voronoi,none,False,679,2.1347417919036364,False,679,0.8036210536956787,5.494743212844078,0.7882622499358635
x_ts0.01.npy,z_ts0.01.npy,10,17,3,0,1000000,100000,1500000,10000,13000,15,voronoi,none,False,820,1.9151932862428738,False,820,0.8934955596923828,5.395512651043696,0.7958487282669623
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,100,150000,10000,13000,15,voronoi,none,False,22,15.05687009663611,False,22,0.31057286262512207,12.440430699045791,0.14349159298160105
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,143,150000,10000,13000,15,voronoi,none,False,27,13.508339336531005,False,27,0.31580114364624023,10.536097584375147,0.28532154671938625
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,206,150000,10000,13000,15,voronoi,none,False,33,12.119067937740798,False,33,0.31818389892578125,10.30868913859208,0.301601092739729
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,297,150000,10000,13000,15,voronoi,none,False,40,10.87267679768654,False,40,0.30851125717163086,9.679824440901156,0.28536045731348075
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,428,150000,10000,13000,15,voronoi,none,False,48,9.754471330159777,False,48,0.31970691680908203,9.336587928384688,0.2730617903453043
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,615,150000,10000,13000,15,voronoi,none,False,58,8.75126822045835,False,58,0.33977413177490234,9.330835911695795,0.37741385880593636
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,885,150000,10000,13000,15,voronoi,none,False,70,7.851239997970227,False,70,0.32421159744262695,10.096699605981915,0.35165796118399334
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,1274,150000,10000,13000,15,voronoi,none,False,85,7.043775593761766,False,85,0.32813072204589844,8.461719130075785,0.42998781264513464
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,1832,150000,10000,13000,15,voronoi,none,False,103,6.319355239185249,False,103,0.34575319290161133,8.396426185947162,0.44754542120820995
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,2636,150000,10000,13000,15,voronoi,none,False,124,5.6694382305968585,False,124,0.34275388717651367,8.039334086570516,0.48427592435564937
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,3792,150000,10000,13000,15,voronoi,none,False,150,5.086362236964125,False,150,0.3526732921600342,7.8952377898012704,0.5054814425372176
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,5455,150000,10000,13000,15,voronoi,none,False,181,4.563252963228967,False,181,0.3593935966491699,7.686494328889099,0.5326727698607385
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,7847,150000,10000,13000,15,voronoi,none,False,219,4.093943104383897,False,219,0.37555599212646484,7.550118619521576,0.5496539736183547
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,11288,150000,10000,13000,15,voronoi,none,False,265,3.6728996347537115,False,265,0.41269683837890625,7.567297692252381,0.5511507769888584
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,16237,150000,10000,13000,15,voronoi,none,False,320,3.295158575244565,False,320,0.41765379905700684,7.406981677811268,0.5666775561409824
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,23357,150000,10000,13000,15,voronoi,none,False,386,2.9562664694854583,False,386,0.4433131217956543,7.268935349817255,0.5870608565955653
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,33598,150000,10000,13000,15,voronoi,none,False,466,2.6522278788829987,False,466,0.47237181663513184,7.224070447260086,0.5942918880835043
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,48329,150000,10000,13000,15,voronoi,none,False,562,2.379458277571489,False,562,0.5344123840332031,7.109118181373309,0.6081531800179073
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,69519,150000,10000,13000,15,voronoi,none,False,679,2.1347417919036364,False,679,0.5850818157196045,7.031335419464267,0.6195198429143609
x_ts0.01.npy,z_ts0.01.npy,100,17,3,0,100000,100000,150000,10000,13000,15,voronoi,none,False,820,1.9151932862428738,False,820,0.6949858665466309,7.051675183949167,0.6158495752118287
